Smiles,h,RGroupIndex,LinkerIndex
[H]c1nc([H])c(SC([H])([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,22
[H]c1nc([H])c(C([H])([H])Sc2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,23
[H]c1nc([H])c(C#Cc2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,24
[H]c1nc([H])c(Sc2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,25
[H]C(=C([H])c1c([H])c([H])c([H])c(C#N)c1[H])c1c([H])nc([H])c([H])c1[H],6,3,26
[H]c1nc([H])c([C@@]([H])(N([H])c2c([H])c([H])c([H])c(C#N)c2[H])C([H])([H])[H])c([H])c1[H],6,3,27
[H]c1nc([H])c(N([H])[C@]([H])(c2c([H])c([H])c([H])c(C#N)c2[H])C([H])([H])[H])c([H])c1[H],6,3,28
[H]c1nc([H])c(C(=O)Oc2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,29
[H]c1nc([H])c(OC(=O)c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,30
[H]c1nc([H])c(C(=O)OC([H])([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,31
[H]c1nc([H])c(C([H])([H])OC(=O)c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,32
[H]c1nc([H])c(N2C([H])([H])C([H])([H])N(c3c([H])c([H])c([H])c(C#N)c3[H])C([H])([H])C2([H])[H])c([H])c1[H],6,3,33
[H]c1nc([H])c([C@@]([H])(c2c([H])c([H])c([H])c(C#N)c2[H])C([H])([H])[H])c([H])c1[H],6,3,34
[H]c1nc([H])c(N2C([H])([H])C([H])([H])C([H])(c3c([H])c([H])c([H])c(C#N)c3[H])C([H])([H])C2([H])[H])c([H])c1[H],6,3,35
[H]c1nc([H])c(C2([H])C([H])([H])C([H])([H])N(c3c([H])c([H])c([H])c(C#N)c3[H])C([H])([H])C2([H])[H])c([H])c1[H],6,3,36
[H]c1nc([H])c(C(=O)N([H])[C@@]([H])(c2c([H])c([H])c([H])c(C#N)c2[H])C([H])([H])[H])c([H])c1[H],6,3,37
[H]c1nc([H])c([C@]([H])(N([H])C(=O)c2c([H])c([H])c([H])c(C#N)c2[H])C([H])([H])[H])c([H])c1[H],6,3,38
[H]C(=Nc1c([H])nc([H])c([H])c1[H])c1c([H])c([H])c([H])c(C#N)c1[H],6,3,39
[H]c1nc([H])c(C([H])([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,0
[H]c1nc([H])c(C(=O)N([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,1
[H]c1nc([H])c(N([H])C(=O)c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,4,2
